DB00001	inhibitor	P00734
DB00002	binder	P00533
DB00002	binder	O75015
DB00002	binder	P02745
DB00002	binder	P02746
DB00002	binder	P02747
DB00002	binder	P08637
DB00002	binder	P12314
DB00002	binder	P12318
DB00004	binder	P01589
DB00004	agonist	P14784
DB00004	unknown	P31785
DB00005	inhibitor	P01375
DB00005	antibody	P01375
DB00005	antibody	P01374
DB00005	ligand	P12314
DB00005	ligand	P12318
DB00005	ligand	P31994
DB00005	ligand	P31995
DB00005	ligand	P08637
DB00005	ligand	O75015
DB00005	ligand	P02745
DB00006	inhibitor	P00734
DB00006	inhibitor	P05164
DB00007	agonist	P30968
DB00008	agonist	P48551
DB00008	agonist	P17181
DB00008	inhibitor	P05177
DB00009	activator	P00747
DB00009	binder	P02671
DB00009	binder	P02679
DB00009	unknown	P05121
DB00010	agonist	Q02643
DB00011	agonist	P17181
DB00011	agonist	P48551
DB00011	inhibitor	P05177
DB00012	agonist	P19235
DB00013	activator	P00747
DB00013	inducer	Q03405
DB00013	modulator	Q03405
DB00013	substrate	P05121
DB00013	inducer	P05121
DB00013	substrate	P05120
DB00013	inducer	P05120
DB00013	substrate	P05154
DB00013	substrate	P98164
DB00013	substrate	Q9Y5Y6
DB00013	ligand	P14543
DB00013	substrate	P39900
DB00014	agonist	P22888
DB00014	agonist	P30968
DB00015	activator	P00747
DB00015	unknown	P02671
DB00015	unknown	P05121
DB00016	agonist	P19235
DB00017	agonist	P30988
DB00018	agonist	P17181
DB00018	agonist	P48551
DB00018	inhibitor	P05177
DB00019	agonist	Q99062
DB00019	substrate	P08246
DB00020	agonist	P15509
DB00020	agonist	P26951
DB00020	agonist	P32927
DB00020	agonist	P34741
DB00020	unknown	P13727
DB00022	agonist	P17181
DB00022	agonist	P48551
DB00022	inhibitor	P05177
DB00022	inhibitor	P10635
DB00022	inducer	P11712
DB00023	inhibitor	P05543
DB00024	agonist	P16473
DB00025	activator	P00742
DB00025	cofactor	P00740
DB00025	binder	P04275
DB00025	antagonist	O14832
DB00025	binder	P07307
DB00025	chaperone	P11021
DB00025	chaperone	P27797
DB00025	chaperone	P27824
DB00025	chaperone	P49257
DB00025	modulator	Q07954
DB00025	modulator	Q8NI22
DB00025	activator	P00734
DB00025	substrate	P04070
DB00026	antagonist	P14778
DB00027	substrate	P08183
DB00027	inhibitor	P08183
DB00028	antagonist	P12314
DB00028	antagonist	Q92637
DB00028	antagonist	P12318
DB00028	antagonist	P31994
DB00028	antagonist	P31995
DB00028	antagonist	P08637
DB00028	antagonist	O75015
DB00028	binder	P01024
DB00028	binder	P0C0L4
DB00028	binder	P0C0L5
DB00028	binder	P01031
DB00029	activator	P00747
DB00029	unknown	P02671
DB00029	unknown	P05121
DB00030	agonist	P06213
DB00030	activator	P08069
DB00030	modulator	P16870
DB00030	product_of	P16870
DB00030	downregulator	P48745
DB00030	substrate	P98164
DB00030	inhibitor	Q16270
DB00030	binder	Q16270
DB00030	substrate	P14735
DB00030	cleavage	P14735
DB00030	activator	P16519
DB00030	activator	P29120
DB00030	inducer	P05177
DB00031	activator	P00747
DB00031	unknown	P02671
DB00031	unknown	Q03405
DB00031	unknown	P05121
DB00031	unknown	P05120
DB00031	unknown	P05452
DB00031	unknown	P05787
DB00031	unknown	P07355
DB00031	unknown	P27797
DB00031	unknown	P27824
DB00031	unknown	Q07954
DB00032	binder	P23945
DB00032	unknown	P22888
DB00033	binder	P15260
DB00033	binder	P38484
DB00033	inhibitor	P05177
DB00034	unknown	P17181
DB00034	unknown	P48551
DB00034	inhibitor	P05177
DB00035	agonist	P30518
DB00035	unknown	P37288
DB00035	unknown	P47901
DB00035	inducer	P35354
DB00035	inducer	P23219
DB00036	unknown	P00742
DB00036	unknown	P13726
DB00036	unknown	P10646
DB00036	unknown	P38435
DB00036	unknown	P08709
DB00038	agonist	Q14626
DB00039	agonist	P21802
DB00039	binder	P21802
DB00039	agonist	P11362
DB00039	ligand	P98160
DB00040	agonist	P47871
DB00040	agonist	O95838
DB00040	agonist	P43220
DB00041	agonist	P14784
DB00041	modulator	P14784
DB00041	agonist	P01589
DB00041	modulator	P01589
DB00041	agonist	P31785
DB00041	inducer	P35354
DB00041	inducer	P47712
DB00041	inhibitor	P08684
DB00041	inducer	P47989
DB00041	inhibitor	P05181
DB00042	binder	P63027
DB00042	binder	P23763
DB00042	unknown	Q8N9I0
DB00043	inhibitor	P12319
DB00043	inhibitor	Q01362
DB00044	agonist	P22888
DB00045	unknown	O60603
DB00046	agonist	P06213
DB00046	activator	P08069
DB00046	inducer	P05177
DB00046	substrate	P14735
DB00047	agonist	P06213
DB00047	activator	P08069
DB00047	inducer	P05177
DB00048	binder	P02452
DB00048	binder	P02458
DB00048	binder	P02461
DB00050	antagonist	P30968
DB00050	unknown	P22888
DB00051	inhibitor	P01375
DB00051	antibody	P01375
DB00052	ligand	P10912
DB00052	ligand	P16471
DB00052	substrate	P08183
DB00052	inducer	P05177
DB00052	inhibitor	P33261
DB00054	antagonist	P05106
DB00054	antagonist	P08514
DB00054	unknown	P12318
DB00054	unknown	P31994
DB00054	unknown	P04004
DB00055	inhibitor	P00451
DB00055	inhibitor	P12259
DB00055	unknown	P05121
DB00055	unknown	P07204
DB00055	unknown	P07225
DB00055	unknown	P00734
DB00055	unknown	P02776
DB00055	unknown	P05154
DB00055	unknown	P35237
DB00055	unknown	Q9UNN8
DB00056	antibody	P20138
DB00056	regulator	P20138
DB00056	unknown	O75015
DB00056	unknown	P08637
DB00056	unknown	P12314
DB00058	inhibitor	P08246
DB00059	inhibitor	P05543
DB00060	agonist	P17181
DB00060	unknown	P48551
DB00060	inhibitor	P05177
DB00061	binder	P62993
DB00063	unknown	P05106
DB00065	inhibitor	P01375
DB00066	agonist	P23945
DB00067	agonist	P30518
DB00067	regulator	P30518
DB00067	agonist	P37288
DB00067	regulator	P37288
DB00067	agonist	P47901
DB00067	agonist	P30559
DB00067	substrate	Q92887
DB00068	agonist	P17181
DB00068	agonist	P48551
DB00068	inhibitor	P05177
DB00069	binder	P17181
DB00069	binder	P48551
DB00069	inhibitor	P05177
DB00070	inhibitor	P01137
DB00070	inhibitor	P02768
DB00071	binder	P06213
DB00071	unknown	P08069
DB00071	inducer	P05177
DB00071	substrate	P14735
DB00072	binder	P04626
DB00072	antibody	P04626
DB00073	antibody	P11836
DB00073	regulator	P11836
DB00074	antibody	P01589
DB00074	antibody	P14784
DB00075	unknown	P04234
DB00075	binder	P07766
DB00075	unknown	P09693
DB00075	unknown	P20963
DB00075	unknown	O75015
DB00078	antibody	P11836
DB00078	regulator	P11836
DB00080	binder	P02768
DB00080	binder	P02763
DB00080	binder	P01009
